,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
RT,2.164443172809115,4.69185207814553,2.0399921118078055,2.0929872027736565,5.45726554427165,3.2394744776484004,2.3194809295528103,4.394085337251454,2.1938945159381547,2.1058545323776343,2.2837298613121675,Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
choice_set,"[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [1, 0]]","[[0, 1], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 2], [5, 1], [10, 0]]",Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
m,9,2,2,6,6,6,8,6,8,6,10,Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
px,3,2,1,1,1,3,2,1,4,2,1,Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
py,1,1,2,2,1,1,1,2,1,1,5,Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
sbundle,"[2, 3]","[1, 0]","[2, 0]","[6, 0]","[6, 0]","[2, 0]","[3, 2]","[6, 0]","[2, 0]","[2, 2]","[10, 0]",Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
trial_nr,[5],[1],[3],[10],[8],[6],[7],[11],[9],[2],[4],Weintrauben.JPG,Raffaelo.JPG,2,168,2019-04-04 16:41:06.153288,2019-04-04 16:39:31.914116
