,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
RT,2.6630951333791018,3.041679158806801,2.819005404599011,3.976243101991713,2.6013808893039823,2.2612301241606474,2.2703898837789893,2.223298995755613,2.9902799744158983,3.593593582510948,3.543492187745869,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
choice_set,"[[0, 2], [2, 1], [4, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
m,4,4,8,5,6,4,10,9,10,8,9,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
px,1,2,2,1,1,1,1,1,5,1,3,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
py,2,1,1,1,2,1,5,3,1,2,1,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
sbundle,"[2, 1]","[1, 2]","[3, 2]","[3, 2]","[4, 1]","[4, 0]","[10, 0]","[9, 0]","[2, 0]","[8, 0]","[2, 3]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
trial_nr,[11],[3],[9],[4],[7],[2],[5],[10],[1],[8],[6],Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,201,2019-07-11 16:33:57.671532,2019-07-11 16:32:24.396704
