,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
RT,5.105560824275017,3.2145886858925223,4.1454702243208885,5.413824490271509,3.567254708148539,3.8634450137615204,2.759811207652092,2.978464244864881,3.9567586416378617,2.4753659684211016,5.743752721697092,Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
choice_set,"[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 2], [1, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 1], [2, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]",Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
m,9,8,6,8,2,10,4,2,12,6,5,Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
px,1,2,2,1,2,5,1,1,2,3,1,Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
py,3,1,1,2,1,1,2,2,3,1,1,Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
sbundle,"[3, 2]","[3, 2]","[2, 2]","[2, 3]","[1, 0]","[1, 5]","[2, 1]","[2, 0]","[3, 2]","[1, 3]","[2, 3]",Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
trial_nr,[9],[7],[4],[10],[1],[8],[6],[2],[5],[3],[11],Snack_Tomaten.JPG,Duplo.JPG,2,208,2019-07-15 16:37:34.372887,2019-07-15 16:35:40.639653
