,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
RT,1.5294518629088998,2.0854642055928707,1.8342228434048593,1.0584830986335874,1.0132212499156594,3.8343054871074855,1.6728297816589475,1.2587704695761204,1.9330108906142414,1.485174896195531,1.407145755365491,Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
choice_set,"[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]",Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
m,6,6,9,10,6,10,6,5,8,4,4,Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
px,1,1,3,1,1,5,2,1,1,2,1,Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
py,2,1,1,5,3,1,1,1,2,1,1,Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
sbundle,"[6, 0]","[6, 0]","[3, 0]","[10, 0]","[6, 0]","[2, 0]","[3, 0]","[5, 0]","[8, 0]","[2, 0]","[4, 0]",Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
trial_nr,[7],[10],[4],[3],[2],[1],[5],[11],[6],[9],[8],Banane.JPG,Kinder_Riegel.JPG,3,106,2019-02-13 17:17:04.304662,2019-02-13 17:14:41.619967
