,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
RT,2.091338733467637,1.4382516283621953,0.99641213229188,1.0399663954431162,2.0647286671483016,2.8297589545654773,1.7605139627630706,1.4834923888192861,1.9471338095117972,2.0965070868223847,1.0953278496035637,Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
choice_set,"[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 2], [1, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
m,6,8,10,6,8,2,9,4,6,5,4,Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
px,1,4,1,1,2,2,1,1,1,1,1,Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
py,1,1,5,3,1,1,3,2,2,1,1,Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
sbundle,"[3, 3]","[1, 4]","[5, 1]","[3, 1]","[3, 2]","[1, 0]","[3, 2]","[2, 1]","[2, 2]","[3, 2]","[2, 2]",Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
trial_nr,[2],[3],[11],[10],[6],[9],[1],[4],[8],[5],[7],Weintrauben.JPG,Knoppers_Mini.JPG,3,252,2019-12-12 17:15:52.036818,2019-12-12 17:14:46.565999
