,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
RT,1.8347205084282905,8.255938786780462,1.5581750045530498,9.23852381692268,7.347684415988624,10.210251777432859,3.673402772983536,5.061993986833841,5.093558655353263,7.061216568574309,9.842768840491772,Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
choice_set,"[[0, 10], [1, 5], [2, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [1, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]",Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
m,10,8,8,6,4,6,6,2,8,10,9,Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
px,5,1,4,1,1,1,1,2,1,1,1,Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
py,1,2,1,3,1,1,2,1,4,5,3,Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
sbundle,"[0, 10]","[0, 4]","[0, 8]","[0, 2]","[0, 4]","[0, 6]","[0, 3]","[0, 2]","[0, 2]","[0, 2]","[0, 3]",Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
trial_nr,[11],[4],[8],[2],[9],[1],[10],[6],[7],[3],[5],Weintrauben.JPG,Kinder_Riegel.JPG,1,117,2019-02-07 15:33:06.845314,2019-02-07 15:26:39.562134
