,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
RT,7.87668778153602,6.053129000356421,9.54975999169983,7.458177212974988,10.574580427026376,8.351396562648006,10.904324938659556,8.003184343106113,4.589732702123001,6.313399889040738,7.8273136500502005,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
choice_set,"[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
m,5,6,8,4,8,6,6,8,4,6,9,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
px,1,1,1,1,4,1,3,1,2,1,3,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
py,1,3,4,1,1,1,1,2,1,2,1,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
sbundle,"[3, 2]","[3, 1]","[4, 1]","[2, 2]","[2, 0]","[4, 2]","[1, 3]","[4, 2]","[1, 2]","[2, 2]","[2, 3]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
trial_nr,[9],[11],[2],[6],[3],[4],[5],[10],[7],[1],[8],Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,133,2019-03-07 15:36:46.341799,2019-03-07 15:31:38.327790
