,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
RT,3.211463863030076,5.209590988350101,3.1218907486181706,9.728597874520347,4.293663459364325,2.051256695529446,4.271855810307898,5.723900868673809,5.809435846284032,2.5772056435234845,2.093281816923991,Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
choice_set,"[[0, 1], [2, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [1, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 8], [1, 4], [2, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
m,2,4,6,5,6,2,4,6,8,9,8,Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
px,1,1,2,1,1,2,2,3,2,3,4,Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
py,2,2,1,1,2,1,1,1,1,1,1,Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
sbundle,"[0, 1]","[0, 2]","[2, 2]","[2, 3]","[2, 2]","[1, 0]","[2, 0]","[2, 0]","[2, 4]","[2, 3]","[2, 0]",Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
trial_nr,[2],[3],[1],[8],[6],[11],[9],[4],[7],[5],[10],Weintrauben.JPG,Knoppers_Mini.JPG,2,231,2019-11-14 16:41:06.975670,2019-11-14 16:39:13.187352
