,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
RT,4.423350633354858,10.19269293860998,3.446707422262989,2.579049450578168,4.187708675046451,3.3697081027785316,3.2857564623700455,2.904725617612712,5.871260662563145,2.294467097031884,5.327372355619445,Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
choice_set,"[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 1], [2, 0]]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
m,6,6,9,6,4,8,4,8,6,9,2,Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
px,2,1,1,1,1,1,1,4,1,3,1,Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
py,1,1,3,3,1,2,2,1,2,1,2,Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
sbundle,"[2, 2]","[4, 2]","[3, 2]","[3, 1]","[2, 2]","[4, 2]","[2, 1]","[1, 4]","[2, 2]","[2, 3]","[2, 0]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
trial_nr,[6],[4],[8],[10],[2],[11],[1],[5],[7],[3],[9],Snack_Tomaten.JPG,Kinder_Riegel.JPG,3,133,2019-03-07 17:19:15.562437,2019-03-07 17:17:46.852948
