,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
RT,8.18715674430132,1.7649094564840198,2.0857622921466827,15.17002332303673,2.1939090033993125,4.1308964705094695,8.706249102950096,1.9977332884445786,4.691411459818482,3.176299098879099,3.373834727331996,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
choice_set,"[[0, 10], [1, 5], [2, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
m,10,4,12,8,6,8,10,6,6,9,8,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
px,5,2,2,1,1,2,1,1,3,1,1,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
py,1,1,3,4,2,1,5,3,1,3,2,Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
sbundle,"[1, 5]","[2, 0]","[6, 0]","[8, 0]","[6, 0]","[4, 0]","[10, 0]","[6, 0]","[2, 0]","[9, 0]","[8, 0]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
trial_nr,[1],[11],[8],[2],[10],[5],[3],[7],[4],[9],[6],Snack_Tomaten.JPG,Kinder_Riegel.JPG,2,216,2019-07-31 16:21:05.652644,2019-07-31 16:18:52.619411
