,starttime,VP-Code,Testung,Snack_G,Snack_UG,9,10,8,3,5,2,6,4,7,0,1,endtime
MISSES,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,0,0,0,0,0,0,0,0,0,0,0,2019-11-14 16:04:11.482346
RT,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,7.558633085805923,4.382474015001208,9.078116063028574,2.69841664750129,6.685506478417665,8.093247347511351,2.658384248614311,12.224833301268518,10.086803548038006,3.860093327704817,3.605668409727514,2019-11-14 16:04:11.482346
choice_set,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,"[[0, 1], [2, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 2], [1, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 4], [3, 2], [6, 0]]",2019-11-14 16:04:11.482346
m,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,2,4,6,2,9,8,10,8,4,6,12,2019-11-14 16:04:11.482346
px,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,1,1,1,2,1,1,5,2,1,2,2,2019-11-14 16:04:11.482346
py,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,2,2,1,1,3,4,1,1,1,1,3,2019-11-14 16:04:11.482346
sbundle,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,"[0, 1]","[2, 1]","[4, 2]","[1, 0]","[3, 2]","[4, 1]","[2, 0]","[4, 0]","[2, 2]","[3, 0]","[3, 2]",2019-11-14 16:04:11.482346
trial_nr,2019-11-14 15:59:05.964511,235,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],2019-11-14 16:04:11.482346
