,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
RT,3.4431662869174033,2.254603248089552,5.067005714168772,3.514804602134973,4.754322259919718,2.0198566901963204,1.6377275404520333,5.38702677981928,1.7928467127494514,1.772149337688461,4.1264036586508155,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
choice_set,"[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 2], [1, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [3, 1], [6, 0]]",Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
m,6,10,12,2,5,4,6,8,6,9,6,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
px,1,5,2,2,1,2,1,4,3,3,1,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
py,2,1,3,1,1,1,2,1,1,1,3,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
sbundle,"[2, 2]","[1, 5]","[0, 4]","[1, 0]","[1, 4]","[1, 2]","[2, 2]","[1, 4]","[1, 3]","[2, 3]","[3, 1]",Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
trial_nr,[7],[6],[5],[2],[1],[9],[3],[4],[8],[10],[11],Snack_Moehren.JPG,Knoppers_Mini.JPG,3,112,2019-03-20 17:18:06.202949,2019-03-20 17:16:30.613454
