,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
RT,9.021316916681826,12.751417765393853,9.032302245497704,7.296931015327573,10.108279063366354,5.638042155653238,6.382279618643224,12.349999601021409,3.822858875617385,6.851854236796498,8.143389481119812,Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
choice_set,"[[0, 4], [1, 2], [2, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 2], [1, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
m,4,6,4,2,6,6,10,10,6,8,6,Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
px,2,2,1,2,3,1,1,5,1,2,1,Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
py,1,1,1,1,1,1,5,1,3,1,2,Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
sbundle,"[1, 2]","[3, 0]","[2, 2]","[1, 0]","[1, 3]","[3, 3]","[0, 2]","[1, 5]","[3, 1]","[3, 2]","[2, 2]",Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
trial_nr,[1],[7],[3],[2],[5],[11],[9],[4],[8],[10],[6],Weintrauben.JPG,Knoppers_Mini.JPG,1,200,2019-07-11 15:33:36.582784,2019-07-11 15:26:53.896619
