,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
RT,3.584536887705326,5.647927870973945,13.109490094706416,11.557351736351848,6.572718868032098,6.891068460419774,8.892674593254924,4.108777081593871,3.245544660836458,2.673615749925375,6.660886941477656,Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
choice_set,"[[0, 1], [2, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 8], [1, 4], [2, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
m,2,4,6,6,6,8,9,9,6,10,8,Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
px,1,1,1,1,1,2,3,1,3,5,4,Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
py,2,1,1,2,3,1,1,3,1,1,1,Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
sbundle,"[2, 0]","[2, 2]","[3, 3]","[2, 2]","[6, 0]","[0, 8]","[0, 9]","[9, 0]","[0, 6]","[0, 10]","[0, 8]",Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
trial_nr,[4],[1],[3],[2],[5],[7],[6],[8],[10],[11],[9],Weintrauben.JPG,Knoppers_Mini.JPG,1,239,2019-11-07 15:50:58.253283,2019-11-07 15:45:12.175175
