,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
RT,3.235396039672196,2.025556219741702,5.004299741238356,2.1218336140736938,3.6447896976023912,6.080848138779402,6.553723973222077,7.366429299116135,3.667302926070988,3.4184057898819447,6.591337594203651,Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
choice_set,"[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 1], [2, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]",Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
m,6,6,5,6,8,8,2,6,4,6,6,Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
px,1,3,1,1,2,1,1,1,1,2,1,Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
py,2,1,1,2,1,2,2,3,2,1,1,Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
sbundle,"[2, 2]","[1, 3]","[2, 3]","[2, 2]","[2, 4]","[2, 3]","[0, 1]","[3, 1]","[2, 1]","[1, 4]","[2, 4]",Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
trial_nr,[9],[10],[8],[6],[3],[11],[1],[2],[4],[5],[7],Snack_Tomaten.JPG,Duplo.JPG,3,208,2019-07-15 17:29:35.625414,2019-07-15 17:27:58.628116
