,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
RT,8.594037916904199,3.057551320278435,7.47112744730839,8.901598783937516,4.802175066593918,4.432384679355891,7.702183672925457,6.942259454284795,5.919955361037864,3.5763504682981875,9.072323443266214,Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
choice_set,"[[0, 2], [3, 1], [6, 0]]","[[0, 2], [1, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
m,6,2,5,6,6,9,6,8,8,4,6,Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
px,1,2,1,1,2,3,1,1,4,2,1,Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
py,3,1,1,2,1,1,2,2,1,1,1,Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
sbundle,"[6, 0]","[0, 2]","[1, 4]","[6, 0]","[1, 4]","[1, 6]","[2, 2]","[2, 3]","[0, 8]","[0, 4]","[2, 4]",Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
trial_nr,[2],[4],[10],[9],[6],[8],[1],[5],[3],[11],[7],Weintrauben.JPG,Knoppers_Mini.JPG,2,124,2019-02-21 16:34:05.661220,2019-02-21 16:32:12.274284
