,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
RT,5.227836413600016,2.2039524154970422,6.810773532604799,1.8639367303694598,6.823753706121352,6.279408864618745,6.018330918624997,7.915684727835469,3.5665639985818416,6.610109192144591,6.303817791980691,Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
choice_set,"[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 8], [1, 4], [2, 0]]",Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
m,6,12,6,10,8,4,4,9,10,6,8,Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
px,2,2,1,1,1,1,1,3,5,3,4,Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
py,1,3,1,5,2,1,2,1,1,1,1,Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
sbundle,"[1, 4]","[3, 2]","[6, 0]","[10, 0]","[8, 0]","[4, 0]","[4, 0]","[0, 9]","[0, 10]","[0, 6]","[0, 8]",Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
trial_nr,[8],[10],[4],[11],[3],[1],[7],[2],[9],[6],[5],Snack_Paprika.JPG,Knoppers_Mini.JPG,1,180,2019-05-16 15:54:12.923380,2019-05-16 15:49:20.382439
