,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
RT,2.5115641116863117,5.814045184990391,4.345206076046452,4.373728358070366,4.752557247760706,3.9731545269023627,3.445444146404043,7.314030651003122,4.471362871816382,5.319493104470894,7.627604197827168,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
choice_set,"[[0, 4], [3, 2], [6, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
m,12,6,8,8,10,6,6,4,9,4,9,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
px,2,1,1,2,5,2,1,2,1,1,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
py,3,2,4,1,1,1,3,1,3,2,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
sbundle,"[3, 2]","[2, 2]","[4, 1]","[2, 4]","[1, 5]","[1, 4]","[3, 1]","[1, 2]","[3, 2]","[2, 1]","[2, 3]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
trial_nr,[10],[3],[8],[2],[5],[6],[11],[7],[9],[4],[1],Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,233,2019-11-06 17:34:16.497882,2019-11-06 17:32:34.044800
