,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
RT,2.8191426605917513,4.915148921310902,0.9828403308056295,6.204895809292793,0.9060450117103755,8.108429024461657,2.4644321724772453,2.90337989712134,1.1577102807350457,1.8685396183282137,1.0638561751693487,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
choice_set,"[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 1], [2, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [1, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 4], [3, 2], [6, 0]]",Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
m,9,4,2,8,6,6,8,6,2,10,12,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
px,1,1,1,1,3,1,2,1,2,5,2,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
py,3,1,2,4,1,3,1,2,1,1,3,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
sbundle,"[6, 1]","[3, 1]","[2, 0]","[4, 1]","[2, 0]","[6, 0]","[4, 0]","[4, 1]","[1, 0]","[2, 0]","[6, 0]",Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
trial_nr,[3],[6],[1],[10],[2],[8],[7],[4],[5],[9],[11],Snack_Moehren.JPG,Knoppers_Mini.JPG,3,155,2019-03-20 17:26:58.832970,2019-03-20 17:25:23.869997
