,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
RT,6.213220793753862,7.608794749714434,2.7676167441532016,5.195802964270115,3.6987798400223255,4.259863073937595,2.157079640775919,1.5905544748529792,5.534836798906326,2.8715013302862644,3.909199303947389,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
choice_set,"[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 2], [1, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 1], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]",Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
m,8,6,6,4,2,6,5,2,6,10,6,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
px,2,1,2,1,2,1,1,1,1,1,1,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
py,1,1,1,1,1,3,1,2,2,5,2,Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
sbundle,"[3, 2]","[4, 2]","[3, 0]","[2, 2]","[0, 2]","[3, 1]","[4, 1]","[2, 0]","[6, 0]","[10, 0]","[2, 2]",Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
trial_nr,[5],[8],[7],[6],[3],[1],[11],[4],[9],[10],[2],Snack_Moehren.JPG,Knoppers_Mini.JPG,3,214,2019-08-05 17:15:31.590941,2019-08-05 17:13:59.992629
