,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
RT,5.84780724128359,8.88360610420932,10.059277012303937,8.30869209615048,6.977909120701952,7.813013778650202,5.223592710273806,7.490755617618561,2.9094033997680526,4.352489705197513,4.237187272898154,Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
choice_set,"[[0, 6], [1, 3], [2, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 1], [2, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]",Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
m,6,9,10,4,6,2,8,6,4,8,8,Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
px,3,1,1,1,1,1,1,2,1,1,2,Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
py,1,3,5,1,2,2,2,1,2,4,1,Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
sbundle,"[1, 3]","[3, 2]","[0, 2]","[2, 2]","[2, 2]","[2, 0]","[2, 3]","[2, 2]","[2, 1]","[4, 1]","[2, 4]",Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
trial_nr,[1],[2],[4],[9],[6],[3],[7],[5],[8],[11],[10],Snack_Paprika.JPG,Kinder_Riegel.JPG,1,109,2019-01-24 15:32:46.042847,2019-01-24 15:27:05.006203
