,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
RT,4.074621506500989,2.7799861044622958,3.1483367825858295,7.434554502367973,2.489989005494863,2.5110255163162947,3.5339149544015527,3.315003354102373,4.2647645708639175,3.125727192731574,2.307042206870392,Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
choice_set,"[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 1], [2, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 4], [1, 2], [2, 0]]",Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
m,6,10,8,6,6,2,9,4,10,6,4,Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
px,1,1,1,1,3,1,3,1,5,1,2,Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
py,2,5,2,2,1,2,1,2,1,3,1,Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
sbundle,"[0, 3]","[0, 2]","[0, 4]","[0, 3]","[0, 6]","[0, 1]","[0, 9]","[0, 2]","[0, 10]","[0, 2]","[0, 4]",Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
trial_nr,[10],[8],[1],[4],[2],[5],[6],[11],[9],[7],[3],Weintrauben.JPG,Pringles_Chips.JPG,1,250,2019-12-04 15:34:43.072784,2019-12-04 15:30:32.446274
