,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
RT,13.18780934321694,3.7735294587910175,10.673637408297509,3.2387074786238372,10.14903073431924,12.670178350294009,5.435539211845025,4.0957917929627,5.896299509098753,2.5547048659063876,15.598715092986822,Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
choice_set,"[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 1], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]",Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
m,6,6,9,12,2,6,9,10,4,8,8,Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
px,1,1,3,2,1,1,1,1,2,1,2,Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
py,1,2,1,3,2,2,3,5,1,4,1,Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
sbundle,"[5, 1]","[6, 0]","[3, 0]","[6, 0]","[2, 0]","[6, 0]","[9, 0]","[10, 0]","[2, 0]","[8, 0]","[3, 2]",Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
trial_nr,[5],[4],[10],[9],[11],[3],[1],[7],[2],[8],[6],Weintrauben.JPG,Kinder_Riegel.JPG,1,190,2019-05-29 15:57:07.382149,2019-05-29 15:49:54.007941
