,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
RT,2.6098702549934387,1.9720300203189254,7.023960914462805,2.112904696725309,3.4650161527097225,3.0063225124031305,2.4655479211360216,3.964108783751726,6.6225779755041,3.3429471468552947,3.0445767622441053,Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
choice_set,"[[0, 2], [3, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 1], [2, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 2], [1, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
m,6,6,9,2,8,8,2,4,9,10,6,Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
px,1,3,3,1,2,4,2,2,1,5,1,Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
py,3,1,1,2,1,1,1,1,3,1,2,Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
sbundle,"[0, 2]","[2, 0]","[0, 9]","[0, 1]","[2, 4]","[2, 0]","[0, 2]","[1, 2]","[0, 3]","[2, 0]","[0, 3]",Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
trial_nr,[6],[8],[3],[5],[11],[7],[9],[1],[2],[4],[10],Weintrauben.JPG,Knoppers_Mini.JPG,1,221,2019-07-29 15:52:44.784451,2019-07-29 15:48:24.087650
