,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
RT,1.5229461488343077,3.3941902091901284,3.673673327357392,5.093944159118109,2.0905945269332733,5.60753276819014,7.615744126174832,2.2443658411648357,5.681270272631082,3.2532468975841766,2.62854705072823,Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
choice_set,"[[0, 2], [5, 1], [10, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 1], [2, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 6], [1, 3], [2, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
m,10,9,4,4,2,4,12,6,9,10,6,Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
px,1,3,1,1,1,2,2,2,1,5,3,Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
py,5,1,2,1,2,1,3,1,3,1,1,Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
sbundle,"[10, 0]","[1, 6]","[4, 0]","[2, 2]","[2, 0]","[1, 2]","[6, 0]","[1, 4]","[9, 0]","[0, 10]","[0, 6]",Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
trial_nr,[6],[10],[5],[9],[4],[8],[3],[11],[2],[1],[7],Weintrauben.JPG,Knoppers_Mini.JPG,3,124,2019-02-21 17:32:27.917071,2019-02-21 17:31:05.655005
