,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
RT,3.513899219338782,3.345578826847486,3.086167579400353,5.220424582716078,3.4825522378087044,7.013751315884292,3.004756278474815,4.259819905390032,2.262187500600703,2.7123685468686745,5.9455846403725445,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
choice_set,"[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 1], [2, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]",Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
m,4,4,6,9,2,8,12,8,6,6,6,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
px,1,2,1,3,1,2,2,1,3,2,1,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
py,1,1,2,1,2,1,3,2,1,1,2,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
sbundle,"[1, 3]","[1, 2]","[2, 2]","[1, 6]","[2, 0]","[3, 2]","[6, 0]","[2, 3]","[1, 3]","[1, 4]","[6, 0]",Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
trial_nr,[3],[9],[7],[8],[11],[1],[4],[5],[2],[6],[10],Snack_Paprika.JPG,Kinder_Riegel.JPG,3,108,2019-01-24 17:28:13.572106,2019-01-24 17:25:50.081500
