,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
RT,5.4058079635724425,7.38967764377594,4.359467706643045,5.082005810923874,5.9008618872612715,3.538279372267425,11.897751638665795,7.813952745869756,5.381666916422546,2.7024112548679113,7.738722569309175,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
choice_set,"[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 2], [1, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
m,9,10,8,6,4,2,8,5,4,6,6,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
px,3,1,2,1,2,2,1,1,1,3,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
py,1,5,1,2,1,1,2,1,2,1,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
sbundle,"[2, 3]","[10, 0]","[2, 4]","[2, 2]","[1, 2]","[0, 2]","[2, 3]","[2, 3]","[2, 1]","[1, 3]","[2, 4]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
trial_nr,[5],[9],[3],[4],[11],[10],[1],[2],[6],[8],[7],Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,196,2019-07-04 15:30:48.131998,2019-07-04 15:25:21.378382
