,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
RT,0.7497118873288855,3.995950464042835,1.5736377201974392,1.1106643290258944,2.018694550381042,1.0506428531371057,3.3083899774355814,2.8160387843381613,0.7091874596662819,2.544086651527323,0.8628503945656121,Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
choice_set,"[[0, 2], [3, 1], [6, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 2], [5, 1], [10, 0]]",Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
m,6,4,6,8,6,4,10,6,8,4,10,Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
px,1,2,1,4,1,1,5,1,1,1,1,Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
py,3,1,2,1,2,2,1,1,4,1,5,Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
sbundle,"[6, 0]","[2, 0]","[6, 0]","[2, 0]","[6, 0]","[4, 0]","[2, 0]","[6, 0]","[8, 0]","[4, 0]","[10, 0]",Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
trial_nr,[8],[1],[6],[10],[4],[2],[3],[11],[7],[9],[5],Orange.JPG,Knoppers_Mini.JPG,1,105,2019-03-06 15:41:45.533622,2019-03-06 15:37:22.769454
