,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
RT,1.234725201735273,2.051216170191765,1.0985178886912763,0.9631050929892808,0.8671765106264502,2.3347443523816764,1.032542729517445,2.0154834017157555,1.6796413159463555,1.1398356477729976,2.032006971538067,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
choice_set,"[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 1], [2, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 2], [1, 0]]","[[0, 2], [3, 1], [6, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
m,9,5,10,4,2,10,8,4,8,2,6,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
px,1,1,1,1,1,5,1,1,4,2,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
py,3,1,5,2,2,1,4,1,1,1,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
sbundle,"[9, 0]","[5, 0]","[10, 0]","[4, 0]","[2, 0]","[2, 0]","[8, 0]","[4, 0]","[2, 0]","[1, 0]","[6, 0]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
trial_nr,[5],[7],[10],[11],[9],[1],[6],[2],[4],[8],[3],Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,177,2019-05-22 17:36:13.545339,2019-05-22 17:34:21.424736
