,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
RT,1.108517937362194,1.387964578345418,1.223309381864965,1.9876222626771778,1.402088661212474,2.2635294762440026,2.704608836211264,0.9074545132461935,4.21656110137701,1.4136570608243346,2.4558064565062523,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
choice_set,"[[0, 2], [2, 1], [4, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 2], [1, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 1], [2, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
m,4,12,8,2,8,8,5,2,4,6,9,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
px,1,2,1,2,2,4,1,1,2,1,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
py,2,3,2,1,1,1,1,2,1,2,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
sbundle,"[4, 0]","[6, 0]","[8, 0]","[0, 2]","[4, 0]","[0, 8]","[5, 0]","[2, 0]","[0, 4]","[6, 0]","[0, 9]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
trial_nr,[9],[1],[7],[6],[10],[8],[3],[11],[4],[5],[2],Snack_Tomaten.JPG,Knoppers_Mini.JPG,3,158,2019-03-27 17:51:01.493950,2019-03-27 17:49:53.725776
