,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
RT,2.927530201151967,1.4489759048447013,2.6739907804876566,2.83504072856158,4.094899813644588,1.8030263474211097,5.6330691408365965,1.6211907044053078,6.732419162988663,3.398679072037339,4.901282627135515,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
choice_set,"[[0, 2], [5, 1], [10, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 1], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]",Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
m,10,4,6,8,6,2,6,6,9,8,8,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
px,1,1,1,2,3,1,1,1,1,4,1,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
py,5,1,2,1,1,2,2,3,3,1,2,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
sbundle,"[5, 1]","[2, 2]","[4, 1]","[3, 2]","[1, 3]","[2, 0]","[4, 1]","[3, 1]","[6, 1]","[2, 0]","[6, 1]",Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
trial_nr,[6],[9],[3],[7],[1],[4],[2],[8],[5],[10],[11],Snack_Moehren.JPG,Knoppers_Mini.JPG,2,214,2019-08-05 16:12:42.547637,2019-08-05 16:11:05.378906
