,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
RT,1.3250372465699911,0.9519971814006567,1.3950255401432514,1.1710038408637047,1.141859719529748,1.263942544348538,1.4309954512864351,3.129537275992334,1.1204031631350517,2.5597638562321663,1.186311143450439,Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
choice_set,"[[0, 1], [2, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [1, 0]]","[[0, 2], [5, 1], [10, 0]]",Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
m,2,8,8,6,6,9,4,5,10,2,10,Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
px,1,1,4,2,1,3,1,1,5,2,1,Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
py,2,4,1,1,2,1,2,1,1,1,5,Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
sbundle,"[0, 1]","[0, 2]","[0, 8]","[0, 6]","[0, 3]","[0, 9]","[0, 2]","[0, 5]","[0, 10]","[0, 2]","[0, 2]",Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
trial_nr,[8],[11],[10],[9],[4],[6],[5],[3],[7],[1],[2],Snack_Tomaten.JPG,Raffaelo.JPG,2,217,2019-07-29 16:42:38.502763,2019-07-29 16:41:05.272513
