,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
RT,1.8072168985381722,3.3324554109713063,4.020233442657627,5.135296756168827,2.7099875123240054,2.7345543314004317,1.590537816286087,1.3382763728732243,1.5549081487115473,4.658244044985622,4.123728356673382,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
choice_set,"[[0, 4], [1, 2], [2, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 1], [2, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 2], [3, 1], [6, 0]]",Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
m,4,8,12,4,10,6,6,2,6,9,6,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
px,2,1,2,1,5,1,2,1,3,1,1,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
py,1,2,3,1,1,2,1,2,1,3,3,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
sbundle,"[1, 2]","[2, 3]","[0, 4]","[1, 3]","[1, 5]","[2, 2]","[0, 6]","[0, 1]","[1, 3]","[0, 3]","[0, 2]",Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
trial_nr,[1],[6],[4],[9],[10],[2],[5],[7],[8],[3],[11],Snack_Moehren.JPG,Knoppers_Mini.JPG,2,143,2019-02-27 16:53:45.019484,2019-02-27 16:52:17.749250
