,starttime,VP-Code,Testung,Snack_G,Snack_UG,6,4,2,10,7,8,0,5,3,1,9,endtime
MISSES,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,0,0,0,0,0,0,0,0,0,0,0,2019-12-11 17:44:27.615677
RT,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,3.3348125386983156,5.582128475885838,3.9401375758461654,3.6446136641316116,1.5710541838780046,6.051339594880119,2.6784156719222665,2.346669607795775,3.1033716856036335,1.9399057179689407,2.020158299477771,2019-12-11 17:44:27.615677
choice_set,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,"[[0, 10], [1, 5], [2, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 2], [3, 1], [6, 0]]",2019-12-11 17:44:27.615677
m,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,10,5,4,6,8,6,4,9,6,10,6,2019-12-11 17:44:27.615677
px,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,5,1,1,3,4,1,1,3,1,1,1,2019-12-11 17:44:27.615677
py,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,1,1,1,1,2,2,1,2,5,3,2019-12-11 17:44:27.615677
sbundle,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,"[1, 5]","[3, 2]","[3, 1]","[1, 3]","[1, 4]","[6, 0]","[2, 1]","[2, 3]","[6, 0]","[10, 0]","[3, 1]",2019-12-11 17:44:27.615677
trial_nr,2019-12-11 17:43:01.647327,258,3,Snack_Tomaten.JPG,Knoppers_Mini.JPG,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],2019-12-11 17:44:27.615677
