,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
RT,2.3134745536372066,3.371863675303757,1.0229623802006245,5.0335772363469005,2.501567378640175,3.5428418684750795,1.1270750667899847,2.196340085938573,0.9743878953158855,1.0663793329149485,0.8667802400887012,Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
choice_set,"[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 1], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 2], [5, 1], [10, 0]]",Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
m,9,6,2,6,4,10,6,8,12,6,10,Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
px,3,1,1,1,1,5,1,1,2,2,1,Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
py,1,2,2,1,1,1,3,2,3,1,5,Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
sbundle,"[3, 0]","[6, 0]","[2, 0]","[5, 1]","[4, 0]","[2, 0]","[6, 0]","[8, 0]","[6, 0]","[3, 0]","[10, 0]",Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
trial_nr,[5],[7],[10],[8],[9],[1],[3],[2],[4],[11],[6],Weintrauben.JPG,Knoppers_Mini.JPG,2,211,2019-07-22 16:33:33.868457,2019-07-22 16:32:17.979426
