,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
RT,2.7338693959172815,3.5889632618054748,2.2906609321944416,2.8138929007109255,3.3011048024054617,3.053483512951061,5.400388253852725,3.16304725734517,3.5799152131658047,4.795338559430093,2.852260045707226,Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
choice_set,"[[0, 2], [4, 1], [8, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 1], [2, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 2], [1, 0]]",Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
m,8,6,2,4,10,12,6,6,9,6,2,Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
px,1,1,1,1,1,2,1,2,3,3,2,Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
py,4,3,2,2,5,3,2,1,1,1,1,Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
sbundle,"[0, 2]","[0, 2]","[0, 1]","[0, 2]","[0, 2]","[0, 4]","[0, 3]","[1, 4]","[1, 6]","[0, 6]","[0, 2]",Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
trial_nr,[7],[1],[4],[8],[6],[9],[5],[3],[11],[2],[10],Snack_Moehren.JPG,Hanuta_Mini.JPG,1,153,2019-03-13 15:54:08.586406,2019-03-13 15:49:52.634552
