,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
RT,2.525069505907595,1.859041379764676,4.166868240572512,4.554584097117186,3.2374948849901557,10.615397242829204,3.531998459249735,2.897718010470271,2.657919934950769,14.25228865724057,6.285796359181404,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
choice_set,"[[0, 2], [5, 1], [10, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
m,10,8,6,4,4,6,9,8,4,6,6,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
px,1,1,1,1,2,3,1,4,1,1,2,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
py,5,4,3,1,1,1,3,1,2,2,1,Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
sbundle,"[0, 2]","[0, 2]","[0, 2]","[1, 3]","[0, 4]","[1, 3]","[0, 3]","[0, 8]","[0, 2]","[2, 2]","[1, 4]",Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
trial_nr,[2],[7],[4],[8],[11],[1],[3],[9],[5],[6],[10],Snack_Tomaten.JPG,Kinder_Riegel.JPG,1,218,2019-07-29 15:49:12.264436,2019-07-29 15:43:40.271128
