,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
RT,7.332979390863329,1.2864311269950122,6.758208356332034,2.774533591233194,2.452526983106509,3.8034115254413337,2.8798271666746587,3.7905208424199373,2.597916356753558,1.6205014125443995,3.5617270334623754,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
choice_set,"[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
m,9,10,10,12,9,8,6,8,6,8,6,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
px,1,5,1,2,3,1,1,1,1,4,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
py,3,1,5,3,1,4,3,2,2,1,2,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
sbundle,"[0, 3]","[0, 10]","[5, 1]","[0, 4]","[0, 9]","[4, 1]","[3, 1]","[2, 3]","[2, 2]","[0, 8]","[2, 2]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
trial_nr,[1],[9],[8],[4],[3],[10],[11],[6],[5],[7],[2],Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,238,2019-11-13 16:20:16.536353,2019-11-13 16:18:42.220416
