,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
RT,1.8312211707234383,4.832203775411472,2.9744625457096845,3.1466633912641555,4.270135267870501,4.733029698720202,2.3736997162923217,3.5042276496533304,3.2896881827618927,3.1809861494693905,3.4228316445369273,Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
choice_set,"[[0, 2], [2, 1], [4, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 2], [3, 1], [6, 0]]",Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
m,4,6,6,4,8,8,8,8,6,5,6,Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
px,1,1,3,1,1,2,1,4,1,1,1,Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
py,2,1,1,1,2,1,4,1,2,1,3,Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
sbundle,"[0, 2]","[3, 3]","[1, 3]","[2, 2]","[8, 0]","[2, 4]","[0, 2]","[1, 4]","[2, 2]","[1, 4]","[3, 1]",Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
trial_nr,[10],[2],[11],[8],[4],[7],[9],[6],[3],[5],[1],Snack_Tomaten.JPG,Duplo.JPG,2,147,2019-03-07 16:34:05.024826,2019-03-07 16:32:41.899764
