,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
RT,1.5887610607314855,1.4109180546365678,3.227569855283946,3.238080392125994,2.9266713212709874,2.244203986832872,2.2926011313684285,1.503649135818705,3.8929516535717994,1.1478952993638813,1.0265695843845606,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
choice_set,"[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 1], [2, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [3, 1], [6, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 4], [1, 2], [2, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
m,9,2,8,6,4,10,6,8,9,6,4,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
px,1,1,1,1,1,5,1,4,3,3,2,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
py,3,2,2,1,2,1,3,1,1,1,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
sbundle,"[6, 1]","[2, 0]","[4, 2]","[4, 2]","[4, 0]","[2, 0]","[3, 1]","[2, 0]","[3, 0]","[2, 0]","[2, 0]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
trial_nr,[11],[3],[1],[5],[7],[4],[8],[6],[2],[10],[9],Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,257,2019-12-11 16:41:20.014548,2019-12-11 16:40:06.736030
