,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
RT,2.7533852525066322,2.5680436038983316,2.4871509163167502,1.9805331594579911,5.305039207260052,2.0340371907568624,2.4040422405651043,4.921027493528527,5.292617020475518,1.7419445296200138,2.4364168702359166,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
choice_set,"[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 2], [1, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
m,6,12,8,10,9,6,2,5,6,8,6,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
px,1,2,1,5,1,1,2,1,1,2,2,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
py,1,3,4,1,3,2,1,1,2,1,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
sbundle,"[0, 6]","[0, 4]","[4, 1]","[0, 10]","[9, 0]","[0, 3]","[0, 2]","[2, 3]","[4, 1]","[0, 8]","[0, 6]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
trial_nr,[11],[6],[3],[7],[2],[8],[1],[5],[4],[10],[9],Snack_Tomaten.JPG,Knoppers_Mini.JPG,2,229,2019-11-07 16:27:52.742227,2019-11-07 16:26:25.015852
