,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
RT,7.588884170923848,2.7927763924526516,4.321423177229008,1.8686180020158645,5.831457516993396,4.798710762173869,2.1383183482685126,6.482600703893695,4.930609709204873,7.19004972858238,3.9331340391072445,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
choice_set,"[[0, 8], [1, 4], [2, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 9], [1, 6], [2, 3], [3, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]","[[0, 1], [2, 0]]",Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
m,8,6,5,12,10,6,8,9,10,9,2,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
px,4,1,1,2,5,1,2,3,1,1,1,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
py,1,2,1,3,1,1,1,1,5,3,2,Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
sbundle,"[1, 4]","[2, 2]","[1, 4]","[3, 2]","[2, 0]","[3, 3]","[2, 4]","[2, 3]","[0, 2]","[3, 2]","[2, 0]",Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
trial_nr,[9],[5],[3],[11],[4],[1],[7],[8],[2],[6],[10],Snack_Paprika.JPG,Kinder_Riegel.JPG,3,109,2019-01-24 17:31:52.320033,2019-01-24 17:28:56.097214
