,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
RT,1.4988777582766488,4.447378320270218,3.091710914275609,2.0031718005193397,1.0128365299897268,1.3941741464659572,4.384565842337906,1.4596922013442963,1.8083411797415465,1.5555426998762414,4.592157759005204,Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
choice_set,"[[0, 4], [3, 2], [6, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 2], [4, 1], [8, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 2], [1, 0]]","[[0, 8], [1, 4], [2, 0]]","[[0, 1], [2, 0]]",Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
m,12,5,10,4,8,4,6,6,2,8,2,Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
px,2,1,5,1,1,1,1,3,2,4,1,Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
py,3,1,1,1,4,2,1,1,1,1,2,Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
sbundle,"[6, 0]","[4, 1]","[2, 0]","[4, 0]","[8, 0]","[4, 0]","[6, 0]","[2, 0]","[1, 0]","[2, 0]","[2, 0]",Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
trial_nr,[9],[7],[11],[3],[10],[2],[1],[6],[4],[5],[8],Weintrauben.JPG,Kinder_Riegel.JPG,2,189,2019-05-22 16:50:49.288868,2019-05-22 16:49:10.194613
