,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
RT,3.279949752613902,2.2584766671061516,10.044110019691288,4.426881509833038,4.0469882963225245,3.5354666393250227,4.794289270415902,6.369285196065903,7.353804626502097,4.806697778403759,7.248021397739649,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
choice_set,"[[0, 2], [3, 1], [6, 0]]","[[0, 1], [2, 0]]","[[0, 4], [1, 3], [2, 2], [3, 1], [4, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 3], [2, 2], [4, 1], [6, 0]]","[[0, 4], [3, 2], [6, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 4], [2, 3], [4, 2], [6, 1], [8, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 4], [1, 2], [2, 0]]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
m,6,2,4,5,6,12,10,8,6,6,4,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
px,1,1,1,1,1,2,1,1,1,2,2,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
py,3,2,1,1,2,3,5,2,1,1,1,Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
sbundle,"[6, 0]","[2, 0]","[3, 1]","[4, 1]","[4, 1]","[6, 0]","[5, 1]","[4, 2]","[4, 2]","[3, 0]","[2, 0]",Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
trial_nr,[8],[7],[2],[9],[10],[11],[5],[4],[6],[1],[3],Snack_Tomaten.JPG,Knoppers_Mini.JPG,1,194,2019-07-10 15:32:42.793458,2019-07-10 15:26:53.169722
